,Dalc,Fedu,Fjob,G1_mat,G1_por,G2_mat,G2_por,G3_mat,G3_por,Medu,Mjob,Pstatus,Walc,absences,activities,address,age,failures,famrel,famsize,famsup,freetime,goout,guardian,hash,health,higher,in_Math,in_Portuguese,internet,nursery,paid,reason,romantic,school,schoolsup,sex,studytime,traveltime
30,3,4,services,9.0,10.0,11.0,11.0,12.0,11.0,4,health,T,4,0,no,U,15,0,5,GT3,yes,4,2,mother,6941440965662165474,5,yes,1,1,yes,no,yes,home,no,GP,no,M,2,1
31,1,4,services,17.0,15.0,16.0,15.0,17.0,15.0,4,services,T,1,2,yes,U,15,0,4,GT3,yes,3,1,mother,-353838230236600522,5,yes,1,1,yes,yes,no,reputation,no,GP,no,M,2,2
32,1,3,at_home,17.0,13.0,16.0,14.0,16.0,15.0,4,teacher,T,1,0,yes,R,15,0,4,GT3,yes,5,2,mother,-8179639019718162560,5,yes,1,1,yes,yes,no,course,yes,GP,no,M,2,1
33,1,3,other,8.0,13.0,10.0,12.0,12.0,12.0,3,other,T,1,0,yes,U,15,0,5,LE3,no,3,2,mother,-6899093127012277917,2,yes,1,1,yes,no,no,course,no,GP,no,M,2,1
34,1,2,other,12.0,12.0,14.0,12.0,15.0,12.0,3,other,T,1,4,no,U,16,0,5,GT3,yes,4,3,mother,8299653879269915459,5,yes,1,1,yes,no,no,home,no,GP,no,M,1,1
35,1,3,other,8.0,11.0,7.0,11.0,6.0,11.0,2,other,T,1,4,yes,U,15,0,3,GT3,yes,5,1,father,5882871670373158501,5,yes,1,1,no,yes,no,other,no,GP,no,F,1,2
36,1,3,services,15.0,14.0,16.0,14.0,18.0,14.0,4,teacher,T,1,0,yes,U,15,0,5,LE3,yes,4,3,mother,-5381702985511821803,4,yes,1,1,yes,yes,no,home,no,GP,no,M,3,1
37,1,4,teacher,15.0,13.0,16.0,13.0,15.0,13.0,4,other,A,1,4,yes,R,16,0,2,GT3,yes,4,3,mother,-5865132300140186401,5,yes,1,1,yes,yes,no,reputation,yes,GP,no,M,3,2
38,1,4,health,12.0,11.0,12.0,12.0,11.0,12.0,3,services,T,1,2,yes,R,15,0,4,GT3,yes,3,2,mother,-2165425915424714114,5,yes,1,1,yes,yes,no,course,no,GP,yes,F,3,1
39,1,2,other,14.0,14.0,13.0,13.0,13.0,12.0,2,at_home,T,1,8,yes,R,15,0,4,GT3,yes,3,1,mother,1833061135117235167,2,yes,1,1,no,yes,no,reputation,no,GP,yes,F,1,1
40,1,2,other,7.0,11.0,10.0,11.0,11.0,10.0,2,other,T,2,16,yes,U,16,0,3,LE3,yes,3,3,mother,-7532403633270392123,3,yes,1,1,yes,no,no,home,yes,GP,no,F,2,2
41,2,4,other,12.0,10.0,12.0,11.0,12.0,11.0,4,teacher,T,4,8,no,U,15,0,5,LE3,yes,4,3,other,8449820466733252490,5,yes,1,1,yes,no,no,home,yes,GP,no,M,1,1
42,1,4,teacher,19.0,14.0,18.0,15.0,18.0,15.0,4,services,T,1,0,yes,U,15,0,4,GT3,yes,3,3,father,930621103152567972,5,yes,1,1,yes,yes,no,course,no,GP,no,M,2,1
43,1,2,services,8.0,9.0,8.0,10.0,11.0,10.0,2,services,T,1,0,no,U,15,0,5,GT3,yes,4,1,father,-2187124570657327902,1,yes,1,1,yes,yes,no,course,no,GP,yes,M,1,1
44,2,2,at_home,10.0,10.0,10.0,11.0,9.0,11.0,2,other,T,2,14,yes,U,16,1,4,LE3,no,3,3,father,-543839014574991373,5,yes,1,1,yes,yes,no,course,no,GP,yes,F,2,2
45,1,3,other,8.0,10.0,8.0,11.0,6.0,11.0,4,other,A,1,4,yes,U,15,0,5,LE3,yes,2,2,mother,2706915955313752603,5,yes,1,1,yes,yes,yes,course,yes,GP,yes,F,2,1
46,1,3,services,11.0,13.0,12.0,12.0,11.0,13.0,3,other,A,4,6,no,U,16,0,2,LE3,yes,3,5,mother,8518713334399970007,3,yes,1,1,yes,yes,no,home,no,GP,no,F,2,1
47,1,3,services,19.0,17.0,19.0,17.0,20.0,17.0,4,health,T,1,2,yes,U,16,0,4,GT3,no,2,2,mother,-7446122682785283691,2,yes,1,1,yes,yes,no,reputation,no,GP,no,M,4,1
48,2,2,other,15.0,11.0,15.0,12.0,14.0,13.0,4,teacher,T,2,4,no,U,15,0,4,GT3,yes,3,3,mother,5882191673687135917,5,yes,1,1,no,yes,no,home,no,GP,no,M,2,1
49,1,4,teacher,7.0,13.0,7.0,12.0,7.0,12.0,4,services,T,1,2,yes,U,15,0,4,GT3,yes,4,4,father,4450078636002747670,3,yes,1,1,yes,no,no,other,no,GP,yes,F,2,1
50,2,2,services,12.0,14.0,13.0,13.0,13.0,13.0,2,services,T,3,0,no,U,16,0,4,LE3,yes,3,3,mother,5991450446331245095,4,yes,1,1,yes,yes,no,course,no,GP,no,F,2,3
51,1,2,other,11.0,16.0,13.0,14.0,13.0,16.0,4,health,T,1,0,no,U,15,0,4,LE3,yes,3,3,mother,-933356264410643095,5,yes,1,1,yes,yes,no,other,no,GP,no,F,2,1
52,3,2,health,11.0,10.0,11.0,9.0,10.0,9.0,4,health,A,4,4,no,U,15,0,5,LE3,no,5,5,father,-8810754514885400980,5,yes,1,1,no,yes,no,other,no,GP,no,M,1,2
53,2,4,services,8.0,13.0,10.0,12.0,11.0,12.0,4,services,T,3,0,no,U,15,0,3,GT3,yes,3,4,mother,-4858844089820303797,5,yes,1,1,yes,yes,no,course,no,GP,yes,F,1,1
54,4,3,other,10.0,13.0,13.0,12.0,13.0,13.0,3,other,A,4,0,no,U,15,0,5,LE3,no,3,4,mother,6853606868543452022,1,yes,1,1,yes,yes,no,other,no,GP,no,F,1,1
55,1,1,other,8.0,12.0,9.0,13.0,10.0,12.0,2,other,A,1,2,yes,U,16,0,5,GT3,no,3,4,mother,-2537505790495395203,2,yes,1,1,yes,yes,no,other,yes,GP,no,F,2,1
56,1,3,services,14.0,15.0,15.0,14.0,15.0,15.0,4,services,A,1,0,yes,U,15,0,4,GT3,yes,3,2,mother,4964699568838053648,1,yes,1,1,yes,yes,no,reputation,no,GP,no,F,2,1
57,1,4,health,14.0,15.0,15.0,15.0,15.0,16.0,4,teacher,T,1,8,yes,U,15,0,3,GT3,yes,2,2,mother,-4305796196156804217,5,yes,1,1,no,yes,no,reputation,no,GP,no,M,2,1
58,1,2,at_home,9.0,14.0,10.0,13.0,9.0,14.0,1,other,T,1,0,yes,U,15,0,4,LE3,yes,3,2,father,-1945974036597441104,5,yes,1,1,yes,yes,no,home,no,GP,yes,M,2,1
59,1,2,other,15.0,16.0,16.0,15.0,16.0,16.0,4,services,T,1,2,no,U,16,0,4,GT3,yes,2,3,mother,166318778300222454,5,yes,1,1,yes,yes,yes,course,no,GP,no,F,2,1
60,2,4,teacher,10.0,17.0,11.0,16.0,11.0,16.0,4,health,T,3,0,yes,R,16,0,2,GT3,yes,4,4,mother,-2140726234947798863,4,yes,1,1,no,yes,no,other,no,GP,no,F,2,1
61,5,1,services,10.0,10.0,8.0,10.0,11.0,16.0,1,services,T,5,0,yes,U,16,0,5,GT3,yes,5,5,father,8809009162670859902,5,yes,1,1,yes,no,no,course,yes,GP,yes,F,1,4
62,1,2,services,8.0,13.0,10.0,13.0,9.0,10.0,1,other,T,1,0,yes,U,16,0,4,LE3,no,4,3,father,-1449408856406723250,1,yes,1,1,yes,yes,no,reputation,no,GP,yes,F,2,1
63,2,3,health,10.0,14.0,9.0,13.0,9.0,13.0,4,teacher,T,4,0,yes,U,16,0,3,GT3,yes,4,4,mother,592511782620321615,4,yes,1,1,yes,yes,no,home,no,GP,yes,F,3,1
64,2,3,services,10.0,13.0,10.0,12.0,10.0,12.0,4,services,T,4,0,yes,U,15,0,4,LE3,no,4,4,father,-6242380097450981167,2,yes,1,1,yes,yes,no,reputation,yes,GP,yes,F,2,1
65,1,3,services,16.0,16.0,15.0,15.0,15.0,16.0,4,teacher,T,2,2,yes,U,16,0,5,LE3,yes,4,3,mother,-1899248672586887032,1,yes,1,1,yes,yes,no,course,no,GP,no,F,2,3
66,5,4,services,13.0,11.0,13.0,12.0,12.0,12.0,4,other,A,5,0,yes,U,15,0,1,GT3,yes,3,3,mother,1821717060127632306,3,yes,1,1,yes,no,no,reputation,yes,GP,no,M,4,1
67,1,1,other,7.0,10.0,7.0,9.0,6.0,10.0,3,services,T,2,0,no,U,16,0,4,GT3,yes,3,3,mother,4062550288809161331,5,yes,1,1,yes,yes,no,course,no,GP,yes,F,4,1
68,1,2,services,8.0,11.0,9.0,10.0,8.0,11.0,2,health,T,3,0,no,R,15,0,4,LE3,yes,1,3,mother,-1634606844712385115,4,yes,1,1,yes,yes,no,reputation,no,GP,yes,F,2,2
69,2,1,other,16.0,15.0,16.0,15.0,16.0,15.0,3,other,T,3,6,no,R,15,0,4,LE3,yes,4,2,father,-6349082521832709347,3,yes,1,1,yes,no,no,reputation,no,GP,no,F,4,2
70,1,1,other,13.0,13.0,15.0,11.0,15.0,11.0,3,other,T,1,2,no,U,16,0,4,GT3,yes,3,2,father,-7497253195043777741,5,yes,1,1,yes,yes,no,reputation,no,GP,no,M,4,2
71,1,2,other,10.0,11.0,10.0,9.0,10.0,10.0,4,other,T,1,0,no,U,15,0,3,GT3,no,3,3,mother,-3311452554736720048,3,yes,1,1,yes,yes,no,course,no,GP,no,M,4,1
72,2,1,other,8.0,13.0,6.0,11.0,5.0,11.0,1,other,T,4,2,no,R,15,0,3,GT3,yes,3,4,mother,-7941331570183254395,5,yes,1,1,yes,no,no,reputation,yes,GP,yes,F,2,1
73,2,1,other,12.0,13.0,12.0,13.0,14.0,14.0,3,other,T,2,0,yes,U,16,0,5,GT3,no,3,2,mother,4352833813283446169,5,yes,1,1,no,yes,no,reputation,no,GP,no,M,1,1
74,2,3,services,11.0,11.0,12.0,11.0,11.0,11.0,3,other,T,4,4,yes,U,16,0,4,GT3,yes,3,3,mother,-8093428458970769935,5,yes,1,1,yes,yes,no,home,no,GP,yes,F,2,1
75,2,3,other,9.0,11.0,9.0,11.0,10.0,11.0,4,teacher,T,3,0,yes,U,15,0,4,GT3,yes,3,3,mother,-1851230684712995573,5,yes,1,1,yes,yes,no,home,no,GP,no,M,2,1
76,1,0,other,11.0,12.0,11.0,11.0,10.0,11.0,4,teacher,T,1,0,yes,U,15,0,3,GT3,no,4,3,mother,-6598901418035551579,1,yes,1,1,yes,yes,no,course,no,GP,no,M,4,2
77,1,2,other,11.0,13.0,11.0,13.0,11.0,13.0,2,other,T,3,1,no,U,16,0,5,GT3,no,2,3,mother,5509564278561792807,3,yes,1,1,yes,yes,no,reputation,yes,GP,no,F,4,1
78,1,1,other,8.0,9.0,8.0,9.0,10.0,10.0,2,other,T,1,0,yes,U,17,3,4,GT3,yes,5,1,mother,6097192391960956156,3,no,1,1,yes,yes,no,home,no,GP,yes,M,1,2
79,1,4,other,5.0,12.0,5.0,11.0,5.0,11.0,3,at_home,T,2,14,no,U,16,0,2,GT3,yes,4,3,mother,8030610238508973103,3,yes,1,1,yes,yes,no,course,no,GP,no,F,2,1
80,1,3,services,10.0,11.0,12.0,11.0,12.0,12.0,2,other,T,3,0,yes,U,15,0,3,GT3,yes,2,2,father,2082662253352193307,3,yes,1,1,yes,no,no,course,yes,GP,yes,M,1,1
81,1,3,other,11.0,10.0,10.0,9.0,11.0,9.0,2,other,T,2,2,no,U,15,0,5,GT3,no,3,2,mother,-3839032600356076068,5,yes,1,1,yes,no,no,home,no,GP,yes,M,3,1
82,1,2,other,7.0,12.0,6.0,11.0,6.0,11.0,3,services,T,1,4,no,U,15,0,4,LE3,yes,4,4,mother,-4865493957400399984,5,yes,1,1,yes,yes,no,reputation,no,GP,no,F,2,1
83,1,2,services,15.0,13.0,15.0,12.0,15.0,13.0,2,services,T,3,2,yes,U,15,0,5,LE3,no,3,3,mother,-5124185573208328011,4,yes,1,1,yes,yes,yes,home,no,GP,no,M,2,2
84,2,1,other,9.0,13.0,10.0,12.0,10.0,12.0,1,other,T,3,2,yes,U,15,0,4,GT3,yes,3,2,father,1675959345769040384,4,yes,1,1,yes,no,no,home,no,GP,no,F,2,1
85,2,4,services,7.0,12.0,9.0,11.0,8.0,12.0,4,services,T,3,4,no,U,15,0,4,GT3,no,4,4,father,3495912016499671137,5,yes,1,1,yes,yes,no,reputation,yes,GP,no,F,2,2
86,1,2,other,8.0,13.0,7.0,11.0,6.0,11.0,2,at_home,T,2,6,no,U,16,0,4,LE3,yes,3,4,mother,6705200472404865840,2,yes,1,1,no,yes,no,course,no,GP,no,F,2,1
87,1,2,other,13.0,15.0,14.0,15.0,14.0,15.0,4,other,T,3,4,yes,U,15,0,5,GT3,yes,3,3,mother,7061059310956399671,1,yes,1,1,yes,yes,no,reputation,no,GP,no,F,3,1
88,1,2,other,11.0,12.0,10.0,10.0,10.0,11.0,2,services,T,1,6,yes,U,16,0,4,GT3,no,4,2,father,3362691939680340804,3,yes,1,1,yes,no,no,reputation,no,GP,no,M,2,2
89,3,4,health,8.0,9.0,6.0,9.0,7.0,10.0,4,teacher,A,5,6,no,U,16,0,4,LE3,yes,1,3,mother,5630305262431698880,5,yes,1,1,no,yes,no,reputation,no,GP,no,M,2,1
90,1,3,other,7.0,9.0,7.0,11.0,8.0,11.0,3,other,T,3,2,no,U,16,0,4,GT3,yes,3,3,mother,6519315290718880334,4,yes,1,1,yes,yes,no,home,yes,GP,no,F,3,1
91,1,3,other,16.0,14.0,17.0,13.0,18.0,13.0,4,services,T,3,6,yes,U,15,0,4,GT3,no,5,5,mother,6640585450241975973,1,yes,1,1,yes,yes,no,reputation,no,GP,no,F,1,1
92,2,1,other,7.0,12.0,6.0,13.0,6.0,12.0,3,other,T,3,0,no,U,16,0,3,LE3,yes,3,3,father,-7698225126170988811,2,yes,1,1,no,yes,no,home,no,GP,yes,F,2,1
93,1,2,services,11.0,13.0,10.0,14.0,10.0,14.0,4,teacher,T,1,2,yes,U,16,0,5,GT3,yes,3,3,mother,-7837773694850477862,1,yes,1,1,yes,yes,no,home,no,GP,no,F,2,2
94,1,2,health,11.0,11.0,13.0,12.0,14.0,12.0,2,services,T,1,2,yes,U,15,0,4,LE3,yes,3,4,mother,-1867309045370277907,4,yes,1,1,yes,yes,no,reputation,no,GP,no,M,4,1
95,1,1,other,7.0,13.0,10.0,13.0,10.0,13.0,1,at_home,T,1,4,yes,R,15,0,3,GT3,yes,1,2,mother,-1268285046693428144,1,yes,1,1,yes,yes,yes,home,no,GP,yes,F,4,2
96,1,3,other,11.0,9.0,15.0,11.0,15.0,11.0,4,services,T,1,6,yes,R,16,0,3,GT3,yes,3,3,mother,9140840029526906356,4,yes,1,1,yes,no,yes,reputation,no,GP,yes,M,1,2
97,1,1,other,8.0,13.0,9.0,12.0,10.0,12.0,2,other,T,1,0,no,U,16,0,4,GT3,yes,3,5,mother,-5373052192392928920,5,yes,1,1,no,yes,no,course,yes,GP,no,F,2,1
98,1,4,other,11.0,12.0,14.0,13.0,14.0,13.0,4,other,T,2,4,yes,U,16,0,5,GT3,no,3,4,mother,-4329162644785062992,1,yes,1,1,yes,no,no,reputation,no,GP,no,F,1,1
99,1,3,at_home,7.0,12.0,9.0,13.0,8.0,13.0,4,other,T,1,2,no,U,16,0,5,GT3,yes,3,5,mother,8707607509857429217,3,yes,1,1,yes,yes,no,course,no,GP,yes,F,3,1
100,5,4,services,7.0,9.0,7.0,9.0,5.0,8.0,4,services,T,5,12,yes,U,16,0,4,GT3,yes,5,5,mother,-114129330180863467,4,yes,1,1,yes,yes,no,other,no,GP,yes,M,1,1
101,1,4,teacher,16.0,16.0,17.0,16.0,17.0,16.0,4,services,T,1,0,yes,U,16,0,4,GT3,yes,4,3,father,-2143594385192134287,4,yes,1,1,yes,yes,no,other,yes,GP,no,M,3,1
102,1,4,other,10.0,12.0,13.0,13.0,14.0,12.0,4,services,T,1,2,yes,U,15,0,5,GT3,yes,3,3,mother,6442891195740315591,5,yes,1,1,yes,no,yes,course,no,GP,no,M,1,1
103,1,2,other,7.0,11.0,6.0,10.0,6.0,10.0,3,services,T,1,16,no,U,15,0,4,GT3,yes,3,5,mother,-8295312872413718388,2,yes,1,1,yes,yes,no,home,no,GP,yes,F,2,2
104,1,4,other,16.0,16.0,18.0,16.0,18.0,16.0,3,services,A,1,0,yes,U,15,0,5,GT3,yes,4,4,mother,-7876001578593135457,1,yes,1,1,yes,yes,no,course,no,GP,no,M,2,1
105,1,3,health,10.0,10.0,11.0,10.0,11.0,10.0,3,other,A,1,10,no,U,15,0,4,GT3,no,3,3,father,4142166355449393855,4,yes,1,1,no,yes,no,reputation,no,GP,yes,F,4,1
106,1,2,other,7.0,10.0,8.0,10.0,8.0,10.0,2,other,T,1,4,no,U,15,0,5,GT3,yes,1,2,mother,5425454062528443654,3,yes,1,1,yes,yes,no,course,no,GP,yes,F,4,1
107,1,3,other,16.0,13.0,18.0,14.0,18.0,14.0,3,services,T,1,4,yes,U,16,0,5,GT3,yes,3,3,father,-735636923648698842,5,yes,1,1,yes,yes,no,home,no,GP,no,M,3,1
108,3,4,other,10.0,12.0,13.0,10.0,13.0,11.0,4,other,T,5,8,yes,R,15,0,1,GT3,yes,3,5,father,-7624147401937968768,1,yes,1,1,yes,yes,no,home,yes,GP,no,M,4,4
109,1,4,health,14.0,15.0,15.0,15.0,16.0,14.0,4,health,T,1,2,yes,U,16,0,5,LE3,yes,4,5,mother,-1788354293930560807,4,yes,1,1,yes,yes,no,other,yes,GP,no,F,3,1
110,1,4,teacher,18.0,13.0,19.0,14.0,19.0,14.0,4,teacher,A,1,4,yes,U,15,0,5,LE3,no,5,3,mother,-9029896117795680924,4,yes,1,1,yes,yes,no,course,no,GP,no,M,1,1
111,1,3,other,7.0,11.0,10.0,11.0,10.0,11.0,3,services,T,1,4,yes,R,16,0,4,GT3,yes,1,2,father,-7001666391389326284,2,yes,1,1,yes,yes,no,reputation,no,GP,yes,F,3,1
112,1,2,other,10.0,8.0,13.0,10.0,13.0,10.0,2,at_home,T,1,12,yes,U,16,1,3,GT3,no,1,2,mother,1764605764759144805,5,yes,1,1,yes,yes,no,home,no,GP,yes,F,2,1
113,1,2,other,18.0,18.0,19.0,17.0,19.0,18.0,4,teacher,T,1,10,no,U,15,0,3,LE3,no,5,2,mother,-7863057396449151027,3,yes,1,1,yes,yes,no,course,no,GP,no,M,1,1
114,1,1,services,9.0,10.0,9.0,9.0,9.0,10.0,2,health,T,1,4,yes,R,15,0,5,GT3,no,4,2,mother,6705728346291965763,5,yes,1,1,yes,yes,no,reputation,yes,GP,no,M,2,1
115,1,4,teacher,15.0,16.0,15.0,14.0,16.0,14.0,4,teacher,T,2,6,yes,U,16,0,5,GT3,yes,4,4,father,7422300338355112092,5,yes,1,1,yes,yes,no,course,no,GP,no,M,2,1
116,1,4,teacher,11.0,16.0,13.0,15.0,14.0,16.0,4,other,T,1,4,yes,U,15,0,4,GT3,yes,4,3,father,8378709687832732538,2,yes,1,1,no,yes,no,reputation,no,GP,no,M,2,2
117,1,3,services,13.0,14.0,14.0,14.0,13.0,15.0,3,other,T,1,6,yes,U,16,0,5,GT3,no,4,2,father,8079972722903021904,5,yes,1,1,yes,yes,no,home,no,GP,no,M,1,2
118,1,3,other,9.0,12.0,7.0,11.0,8.0,11.0,1,other,T,4,14,yes,R,17,1,5,GT3,yes,2,4,father,4141569072127001866,5,yes,1,1,yes,yes,no,course,no,GP,no,M,2,3
119,1,4,other,14.0,14.0,13.0,13.0,13.0,14.0,3,other,T,2,2,no,U,15,0,3,GT3,no,4,3,father,202810455370947802,4,yes,1,1,yes,yes,no,reputation,no,GP,no,M,1,1
120,1,2,services,16.0,14.0,15.0,14.0,15.0,14.0,1,at_home,T,2,0,no,U,15,0,3,GT3,no,2,3,mother,-2326144728082118445,1,yes,1,1,yes,no,no,course,no,GP,no,F,2,1
121,1,2,services,16.0,14.0,14.0,13.0,15.0,13.0,2,services,T,2,6,yes,U,15,0,5,GT3,yes,5,4,father,-8442384534347875888,5,yes,1,1,yes,yes,no,home,no,GP,no,M,4,1
122,1,4,health,13.0,14.0,13.0,12.0,13.0,13.0,2,other,T,2,2,yes,U,16,0,4,LE3,yes,2,2,father,-6812375232059114201,5,yes,1,1,yes,yes,no,course,yes,GP,no,F,2,2
123,1,4,other,14.0,12.0,11.0,13.0,13.0,13.0,4,health,T,4,4,yes,U,16,0,3,GT3,yes,4,4,mother,-7070682364085135756,5,yes,1,1,yes,yes,no,course,no,GP,no,M,1,1
124,1,2,other,8.0,12.0,7.0,11.0,8.0,11.0,2,other,T,1,0,no,U,16,0,5,GT3,no,4,4,mother,-4976613693884414477,5,yes,1,1,yes,yes,no,home,yes,GP,no,F,2,1
125,3,4,services,13.0,9.0,13.0,9.0,12.0,9.0,3,services,T,2,2,no,U,15,0,5,GT3,no,5,5,father,4359763257227294536,5,yes,1,1,yes,yes,no,home,no,GP,yes,M,1,1
